size,density,noise_level,negative_values,seed,algorithm,start_node,end_node,result_status,path,distance,execution_time_seconds,path_length
100,1.0,0.0,True,164,bellman_ford,12,94,success,12 -> 94,258.0,0.23685,2
100,1.0,0.1,False,165,floyd_warshall,2,7,success,2 -> 72 -> 7,795.0,0.333775,3
100,1.0,0.1,True,166,bellman_ford,22,80,negative_cycle,,-inf,0.233566,0
100,1.0,0.5,False,167,floyd_warshall,29,11,success,29 -> 81 -> 11,1100.0,0.337548,3
100,1.0,0.5,True,168,bellman_ford,95,14,negative_cycle,,-inf,0.243258,0
100,1.0,0.8,False,169,floyd_warshall,32,66,success,32 -> 80 -> 66,1036.0,0.352598,3
100,1.0,0.8,True,170,bellman_ford,44,75,negative_cycle,,-inf,0.26425,0
200,0.2,0.0,False,171,dijkstra,143,99,success,143 -> 166 -> 99,239.0,0.000555,3
200,0.2,0.0,True,172,bellman_ford,90,49,success,90 -> 49,21.0,0.858893,2
200,0.2,0.1,False,173,dijkstra,82,124,success,82 -> 176 -> 124,638.0,0.002575,3
200,0.2,0.1,True,174,bellman_ford,1,113,negative_cycle,,-inf,0.852001,0
200,0.2,0.5,False,175,dijkstra,113,60,success,113 -> 156 -> 132 -> 60,1242.0,0.004084,4
200,0.2,0.5,True,176,bellman_ford,7,14,negative_cycle,,-inf,0.890915,0
200,0.2,0.8,False,177,dijkstra,55,127,success,55 -> 127,381.0,0.000206,2
200,0.2,0.8,True,178,bellman_ford,28,142,negative_cycle,,-inf,0.936795,0
200,0.5,0.0,False,179,dijkstra,50,31,success,50 -> 152 -> 33 -> 31,300.0,0.001614,4
200,0.5,0.0,True,180,bellman_ford,36,20,success,36 -> 95 -> 20,360.0,1.259004,3
200,0.5,0.1,False,181,dijkstra,148,178,success,148 -> 178,456.0,0.002769,2
200,0.5,0.1,True,182,bellman_ford,115,90,negative_cycle,,-inf,1.231417,0
200,0.5,0.5,False,183,dijkstra,27,23,success,27 -> 45 -> 113 -> 23,825.0,0.004276,4
200,0.5,0.5,True,184,bellman_ford,70,1,negative_cycle,,-inf,1.310184,0
200,0.5,0.8,False,185,dijkstra,28,38,success,28 -> 169 -> 115 -> 38,994.0,0.004747,4
200,0.5,0.8,True,186,bellman_ford,87,169,negative_cycle,,-inf,1.364575,0
200,0.8,0.0,False,187,dijkstra,89,121,success,89 -> 121,264.0,0.002189,2
200,0.8,0.0,True,188,bellman_ford,180,56,success,180 -> 56,526.0,1.577916,2
200,0.8,0.1,False,189,dijkstra,123,190,success,123 -> 190,98.0,0.000142,2
200,0.8,0.1,True,190,bellman_ford,19,43,negative_cycle,,-inf,1.566682,0
200,0.8,0.5,False,191,dijkstra,194,135,success,194 -> 135,460.0,0.003036,2
200,0.8,0.5,True,192,bellman_ford,95,76,negative_cycle,,-inf,1.669427,0
200,0.8,0.8,False,193,dijkstra,143,118,success,143 -> 118,571.0,0.001648,2
200,0.8,0.8,True,194,bellman_ford,154,17,negative_cycle,,-inf,1.751358,0
200,1.0,0.0,False,195,dijkstra,152,101,success,152 -> 101,362.0,0.003018,2
200,1.0,0.0,True,196,bellman_ford,166,129,success,166 -> 129,528.0,1.821589,2
200,1.0,0.1,False,197,dijkstra,138,3,success,138 -> 151 -> 3,607.0,0.004468,3
200,1.0,0.1,True,198,bellman_ford,13,146,negative_cycle,,-inf,1.812157,0
200,1.0,0.5,False,199,dijkstra,88,190,success,88 -> 190,291.0,0.000913,2
200,1.0,0.5,True,200,bellman_ford,11,52,negative_cycle,,-inf,1.935357,0
200,1.0,0.8,False,201,dijkstra,17,182,success,17 -> 182,516.0,0.004143,2
200,1.0,0.8,True,202,bellman_ford,195,98,negative_cycle,,-inf,2.047899,0
500,0.2,0.0,False,203,dijkstra,46,21,success,46 -> 278 -> 21,694.0,0.021371,3
